Distance (ft),Side facing RX,Date,Time,Frequency (MHz),Signal Strength (dBm)
1,screen,2018-07-22,16:54:01.380456,2462,-21
1,screen,2018-07-22,16:54:01.386628,2462,-23
1,screen,2018-07-22,16:54:01.403357,2462,-23
1,screen,2018-07-22,16:54:01.403424,2462,-23
1,screen,2018-07-22,16:54:01.410990,2462,-23
1,screen,2018-07-22,16:54:01.414960,2462,-23
1,screen,2018-07-22,16:54:01.423443,2462,-23
1,screen,2018-07-22,16:54:01.423507,2462,-23
1,screen,2018-07-22,16:54:01.426097,2462,-23
1,screen,2018-07-22,16:54:01.427449,2462,-23
1,screen,2018-07-22,16:54:01.427650,2462,-23
1,screen,2018-07-22,16:54:01.476440,2462,-23
1,screen,2018-07-22,16:54:01.476513,2462,-23
1,screen,2018-07-22,16:54:01.476590,2462,-23
1,screen,2018-07-22,16:54:01.476672,2462,-23
1,screen,2018-07-22,16:54:01.476731,2462,-23
1,screen,2018-07-22,16:54:01.485013,2462,-23
1,screen,2018-07-22,16:54:01.485086,2462,-23
1,screen,2018-07-22,16:54:01.485155,2462,-23
1,screen,2018-07-22,16:54:01.488567,2462,-23
1,screen,2018-07-22,16:54:01.526345,2462,-23
1,screen,2018-07-22,16:54:01.526422,2462,-23
1,screen,2018-07-22,16:54:01.526491,2462,-23
1,screen,2018-07-22,16:54:01.526566,2462,-23
1,screen,2018-07-22,16:54:01.526640,2462,-23
1,screen,2018-07-22,16:54:01.526713,2462,-23
1,screen,2018-07-22,16:54:01.526781,2462,-23
1,screen,2018-07-22,16:54:01.529942,2462,-23
1,screen,2018-07-22,16:54:01.530813,2462,-23
1,screen,2018-07-22,16:54:01.587745,2462,-23
1,screen,2018-07-22,16:54:01.587817,2462,-23
1,screen,2018-07-22,16:54:01.587892,2462,-23
1,screen,2018-07-22,16:54:01.587964,2462,-23
1,screen,2018-07-22,16:54:01.588045,2462,-23
1,screen,2018-07-22,16:54:01.588122,2462,-23
1,screen,2018-07-22,16:54:01.588193,2462,-23
1,screen,2018-07-22,16:54:01.588270,2462,-23
1,screen,2018-07-22,16:54:01.588343,2462,-23
1,screen,2018-07-22,16:54:01.588422,2462,-23
1,screen,2018-07-22,16:54:01.623078,2462,-23
1,screen,2018-07-22,16:54:01.623150,2462,-23
1,screen,2018-07-22,16:54:01.623223,2462,-23
1,screen,2018-07-22,16:54:01.623297,2462,-23
1,screen,2018-07-22,16:54:01.623366,2462,-23
1,screen,2018-07-22,16:54:01.626333,2462,-23
1,screen,2018-07-22,16:54:01.629297,2462,-23
1,screen,2018-07-22,16:54:01.637190,2462,-23
1,screen,2018-07-22,16:54:01.640837,2462,-21
1,screen,2018-07-22,16:54:01.646819,2462,-21
1,screen,2018-07-22,16:54:01.674021,2462,-23
1,screen,2018-07-22,16:54:01.684771,2462,-23
1,screen,2018-07-22,16:54:01.684837,2462,-23
1,screen,2018-07-22,16:54:01.713480,2462,-23
1,screen,2018-07-22,16:54:01.719101,2462,-23
1,screen,2018-07-22,16:54:01.723009,2462,-23
1,screen,2018-07-22,16:54:01.729630,2462,-23
1,screen,2018-07-22,16:54:01.734075,2462,-23
1,screen,2018-07-22,16:54:01.734151,2462,-23
1,screen,2018-07-22,16:54:01.735148,2462,-33
1,screen,2018-07-22,16:54:01.735220,2462,-33
1,screen,2018-07-22,16:54:01.740347,2462,-21
1,screen,2018-07-22,16:54:01.740428,2462,-21
1,screen,2018-07-22,16:54:01.740496,2462,-21
1,screen,2018-07-22,16:54:01.742985,2462,-23
1,screen,2018-07-22,16:54:01.747921,2462,-23
1,screen,2018-07-22,16:54:01.770318,2462,-23
